0.222222 A group of musicians are performing together in costume.  a
0.222222 Three younger women sit outside and have a chat.  a
0.222222 Five people walk through the snow wearing exotic clothes.  the
0.222222 These people are sitting outside on a sunny day.  a
0.222222 Two men in restaurant uniforms pose for a picture.  a
0.222222 People are sitting at a park under flowering trees.  a
0.222222 A cyclist pedals past yellow fencing and construction markers.  a
0.222222 A group of people are climbing in cold weather.  a
0.222222 Four people in a performing arts class on stage.  a
0.222222 A crowd of people ice skating outside in winter.  a
0.222222 Several young adults drinking alcoholic beverages at a party.  a
0.222222 A group of people enjoys their company with liquor.  a
0.222222 Two men use porta johns in the far east.  the
0.222222 Musician dressed in all black smiles for the camera.  the
0.222222 People are on the beach sunbathing near rocky cliffs.  the
0.222222 Two Asian girls stand in front of a microphone.  a
0.222222 Two girls sitting down and looking at a book.  a
0.222222 Blue race car riding on dirt path with onlookers.  riding
0.222222 Africans in tribe clothes, walking pass a green.  a
0.222222 Three people on bikes racing through the orange cones.  the
0.222222 A newlywed couple speak with guests at their wedding.  a
0.222222 Several people sit at a table in formal clothing.  a
0.222222 Two people in winter coats walking down a road.  a
0.222222 Three younger women sit outside and have a chat.  a
0.222222 Two people walking on a street with barren trees.  a
0.222222 A construction worker looking at his cup of coffee.  a
0.222222 Two boys bounce in a castle shaped bounce house.  a
0.222222 A group of people outside having their picture taken  a
0.222222 A busy street with two men holding blue bags.  a
0.222222 United States military personnel working on a group project.  a
0.222222 Parents watch as girls play softball in a game.  a
0.222222 Older gentlemen is playing guitar while wearing vans shoes.  is
0.222222 Older man in a suit draws with foreign children.  a
0.222222 Parents watch as girls play softball in a game.  a
0.222222 Several people in loose clothing dance in a circle.  a
0.222222 Six young kids playing soccer on a sunny day.  a
0.222222 A group of people are looking at sound equipment  a
0.222222 Noodles are being boiled in water by a woman  a
0.222222 There aren't many people in the ice skating park  the
0.222222 Three boys are walking on rocks along a river  a
0.222222 Two women are wearing bikinis on the sandy beach  the
0.232097 The person in the striped shirt is mountain climbing.  the the is
0.232097 A young man is parasailing on a cloudy day.  a is a
0.232097 A surfer is falling into a big ocean wave  a is a
0.232097 A family is standing under a very large tree.  a is a
0.232097 A young girl works on homework at a table.  a girl a
0.232097 A young girl serving biscuits to an elderly man.  a girl to
0.232097 A man is sleeping by a bunch of luggage.  a is a
0.232097 A blond-haired child is swinging on a tire swing.  a is a
0.232097 A young guy is skateboarding off a metal rail.  a is a
0.232097 A young guy is skateboarding off a metal rail.  a is a
0.232097 A little boy play with flour on the floor.  a little the
0.232097 A snowboarder is grinding down a long concrete rail.  a is a
0.232097 A young girl walking along side a small creek  a girl a
0.232097 A family is standing under a very large tree.  a is a
0.232097 A man is illustrating using a spray paint can.  a is a
0.232097 The man is gracefully singing and playing the guitar  the is the
0.232097 A white bird is landing swiftly in the water  a is the
0.232097 The woman is not poking holes in the potato  the is the
0.232097 The woman is not stirring meat in a bowl  the is a
0.232097 A woman is standing with a pair of dogs  a is a
0.232097 A baby is splashing inside a blue paddling pool  a is a
0.232097 The woman is squeezing juice out of a lemon  the is a
0.232097 A paper plate is being cut by the man  a is the
0.232097 The woman with a black hat is wearing sunglasses  the a is
0.232097 A lion's tail is being pulled by a monkey  a is a
0.232097 A black man is break dancing on the pavement  a is the
0.232097 A cat is stuck on a moving ceiling fan  a is a
0.232097 A young boy is jumping into a still lake  a is a
0.232097 The man is pouring oil on a few tomatoes  the is a
0.295591 The motocross rider is wearing blue and black pants  the is
0.333333 A family in colorful clothing walking in the snow.  a the
0.333333 A child laughs while tubing down the snowy mountain.  a the
0.333333 A lot of people iceskate on a cold day.  a a
0.333333 A young child in a green jacket rakes leaves.  a a
0.333333 A young child rakes leaves in a wooded area.  a a
0.333333 A group of children are playing in a museum.  a a
0.333333 An infant screams from the backseat of a cab.  the a
0.333333 A South African track team poses for a picture.  a a
0.333333 A group of skaters are at a skate park.  a a
0.333333 A black dog has a dumbbell in his mouth.  a a
0.333333 A man holding his motorcycle helmet at a crosswalk.  a a
0.333333 A man holding paper while standing on the sidewalk.  a the
0.333333 People in a class receiving instructions from a teacher.  a a
0.333333 A dog swims in a pool while another watches.  a a
0.333333 A person eats takeout while watching a small television.  a a
0.333333 A dog's mouth opens to expose its sharp teeth.  a to
0.333333 A man stands in a white ice cream truck.  a a
0.333333 Many people stand on a dock near a boat.  a a
0.333333 Several people are riding bicycles on a brick pathway.  riding a
0.333333 A German shepherd and a tan dog are fighting.  a a
0.333333 A man jumps in the air while sky surfing.  a the
0.333333 A group of skaters are at a skate park.  a a
0.333333 A group of people walk down a city street.  a a
0.333333 A man holding his motorcycle helmet at a crosswalk.  a a
0.333333 A group of seven adults having a meal together.  a a
0.333333 Older couple is covered in shadows by a bridge.  is a
0.333333 Behind several overturned bicycles a man is looking down.  a is
0.333333 People walk on a sidewalk next to tram tracks.  a to
0.333333 A woman is eating and drinking with other women  a is
0.333333 There is no child hanging on a large branch  is a
0.333333 People are walking through a crowd in the street  a the
0.333333 There is no young child splashing in the water  is the
0.333333 There is no woman putting meat in a pan  is a
0.333333 A young, topless woman is covered in paint  a is
0.333333 Someone is being boiled with okra in a pot  is a
0.333333 A group of racing dogs are nosing a muzzle  a a
0.333333 There is no milk being drunk by a cat  is a
0.333333 People are walking through a street which is crowded  a is
0.333333 A man and a woman are not shaking hands  a a
0.333333 There is no famous singer dancing on the ceiling  is the
0.333333 Some bamboo is being eaten by a panda bear  is a
0.333333 A group of explorers are walking through the grass  a the
0.333333 A woman and three men are denying a photo  a a
0.333333 A man is putting garlic on some bread slices  a is
0.333333 A couple of boys are playing a video game  a a
0.333333 A group of people is equipped with protective gear  a is
0.333333 A group of scouts are hiking through the grass  a the
0.343208 The man is playing a game on a lawn  the is a a
0.343208 The dog is knocking a boy into the water  the is a the
0.343208 The cyclist is performing a trick in the air  the is a the
0.343208 The woman with a knife is slicing a pepper  the a is a
0.406702 The white bird is landing swiftly in the water  the is the
0.406702 The snowboarder is jumping off a snow covered hill  the is a
0.406702 The black dog is not running through the grass  the is the
0.406702 The black bird is sitting in a leafless tree  the is a
0.406702 The black dog is walking through the tall grass  the is the
0.411985 A little girl ventures on a collapsed tree house.  a little girl a
0.411985 A little girl ventures on a collapsed tree house.  a little girl a
0.411985 A little girl ventures on a collapsed tree house.  a little girl a
0.444444 A woman walking a bike down a busy sidewalk.  a a a
0.444444 A family getting ready to enjoy a strawberry shortcake.  a to a
0.444444 A woman prays while a young girl lights candles.  a a girl
0.444444 A man without a shirt on is rock climbing.  a a is
0.444444 A large black dog is playing in the ocean.  a is the
0.444444 A cowboy balances on his horse in a rodeo.  a horse a
0.444444 A couple relaxing on the grass at a weir.  a the a
0.444444 Four people riding in a boat on the water.  riding a the
0.444444 A skateboarder is perfecting his trick on a wall.  a is a
0.444444 A cowboy balances on his horse in a rodeo.  a horse a
0.444444 A blond boy in green is on a swing.  a is a
0.444444 A toddler runs toward the camera at a park.  a the a
0.444444 A lady in a yellow shirt running a race.  a a a
0.444444 A man is walking next to an orange van.  a is to
0.444444 A boy in a diaper jumping onto a couch.  a a a
0.444444 A dog chases a Nerf ball in the grass.  a a the
0.444444 A lady and a kid in a strawberry ride  a a a
0.444444 A large black dog is playing in the ocean.  a is the
0.444444 A man without a shirt on is rock climbing.  a a is
0.444444 A very fit man is leaning against a tree.  a is a
0.444444 A woman and a child posing for a picture.  a a a
0.444444 A couple relaxing on the grass at a weir.  a the a
0.444444 A boy is dancing and singing in the rain  a is the
0.444444 A bee is taking off from a yellow flower  a is a
0.444444 A skateboarder is doing tricks on a half pipe  a is a
0.444444 A man is removing some food from a box  a is a
0.444444 There is no person setting fire to the cameras  is to the
0.444444 A crowd of people is far from the water  a is the
0.444444 One man is descending a cliff with a rope  is a a
0.444444 A dog is caught mid air with a ball  a is a
0.444444 A man is attentively taking pictures of a lake  a is a
0.444444 A woman is removing eggs from a frying pan  a is a
0.444444 Somebody is leaping in the air on a board  is the a
0.444444 A woman is collecting tap water in a mug  a is a
0.444444 A walker is in a hat store for men  a is a
0.444444 A light brown dog is sprinting in the water  a is the
0.444444 A man is sitting and tables a comfortable discussion  a is a
0.444444 A white racing vehicle is driving through a puddle  a is a
0.444444 A boy is running away from the fishing line  a is the
0.444444 A white race car is driving through a puddle  a is a
0.444444 A man with no shirt is holding a football  a is a
0.444444 A light brown dog is running up a street  a is a
0.444444 A woman is cracking an egg into a bowl  a is a
0.444444 A woman is pouring eggs into a frying pan  a is a
0.444444 A woman is pouring eggs into a frying pan  a is a
0.444444 A woman is preparing an egg in a skillet  a is a
0.444444 A large white crane is flying near the water  a is the
0.517813 A young girl is jumping into a still lake  a girl is a
0.555556 A man is cleaning the edge of a bowl  a is the a
0.555556 A man with a shirt is holding a football  a a is a
0.555556 A person is combing the fur of a cat  a is the a
0.555556 A man is cleaning the edge of a bowl  a is the a
0.555556 A woman is slicing a pepper which is green  a is a is
0.555556 A man is playing a keyboard in a park  a is a a
0.555556 Two men are riding a horse on the shore  riding a horse the
0.555556 A man is wiping the edge of a bowl  a is the a
0.555556 A man is cutting a boot with a sword  a is a a
0.555556 A boy is whacking a man with a sword  a is a a
0.555556 A man is pushing the buttons of a microwave  a is the a
0.555556 A person is doing a trick on a snowboard  a is a a
0.56543 The man is riding a horse by a stream  the is riding a horse a
0.666667 A man is riding a skateboard in a park  a is riding a a
0.666667 A woman is riding a scooter towards the water  a is riding a the
0.666667 A man is fixing a silencer to a gun  a is a to a
0.777778 A man is riding a horse in the desert  a is riding a horse the
