3,Two people laugh.	#nn
5,A tiger is walking around	dnvvn
5,A woman is slicing garlic	dGvvn
5,An airplane is taking off	dnvvn
5,A boy is playing guitar	dGvvn
5,A woman is chopping broccoli	dGvvn
5,The woman is dicing garlic	dGvvn
5,An animated airplane is landing	dvnvv
5,The person is slicing onions	davvn
5,A dog is looking around	davvn
5,A woman is mixing eggs	dGvvn
5,Two people are riding motorbikes	#nvvn
5,A boy is playing guitar	dGvvn
5,A woman is cutting broccoli	dGvvn
5,The man is lifting weights	dGvvn
5,A man is walking outside	dGvvn
5,A woman is boiling eggs	dGvvn
5,A young girl is dancing	daGvv
5,A man is cutting onions	dGvvn
5,A cow is eating grass	dnvvn
5,The person is slicing onions	davvn
5,A baby is crawling happily	davvA
5,A boy is wearing sunglasses	dGvvn
5,Two pandas are lying together	#nvvn
5,A woman is boiling shrimps	dGvvn
5,A man is spreading dough	dGvvn
6,A cricket player misses the pitch.	dnnudn
6,The three men are playing cricket.	d#Gvvn
6,A man struck out playing cricket.	dGunvn
6,A man becomes airborne while windsurfing.	dGuu>v
6,A man parasailing in rough waters.	dGv>un
6,A snowboarder goes up a ramp.	dan>dn
6,A man playing music on stage.	dGvn>n
6,Three little children playing behind bars	#anvnu
6,Two middle eastern men on cellphones.	#nnG>u
6,A batter swings at a ball.	duv>dn
6,Two men wait for the subway.	#Gundn
6,A kayaker plungles into the river.	duu>dn
6,A middle eastern family is walking	dnnAvv
6,Two guys are wearing matching uniforms.	#nvvvn
6,Man taking a walk by himself.	Gvdu>u
6,Girl giving a man a biscuit.	GvdGda
6,Small blond boy throwing a fit.	aaGvdn
6,People standing outside of a building.	nvn>dv
6,A man using a flaming tuba.	dGvdvn
6,Boy in raincoat straddle stick outside.	G>uuun
6,A woman cleaning up a park.	dGv>dn
6,Two older men in gray jackets.	#nG>an
6,Two girls in blue are skiing.	#G>avv
6,Three puppies play on a couch.	#nu>dn
6,A girl wearing brown jacket smiles.	dGvanu
6,Three girls jumping on a lawn.	#Gv>dn
6,Cancer survivors race for a cure.	Punndn
6,Two dogs are shaking water off.	#nvvnn
6,A band plays their music indoors.	dnnnnu
6,Three men are walking and singing.	#Gvv+v
6,Some men are attending a meeting.	dGvvdv
6,Three skateboarders are in a park.	#nv>dn
6,A dog jumps through a hoop.	dan>dn
6,A girl outdoors near picnic tables.	dGn>au
6,Two middle eastern men on cellphones.	#nnG>u
6,Two children playing in a field.	#nv>dn
6,A young boy and girl playing.	daG+Gv
6,A man examines a modern sculpture.	dGudan
6,Several women walking down the street.	nGvndn
6,There is a man playing golf.	EvdGvn
6,Many runners running in an event.	auv>dn
6,Men scramble in a soccer game.	Gu>dan
6,Two people with children exchange words.	#n>nun
6,Three bicyclists race around a curve.	#nnndn
6,Three bicyclists turn on a curve.	#nu>dn
6,Two teams of boys playing soccer.	#n>Gva
6,Four women are on a porch.	#Gv>dn
6,Two guys are wearing matching uniforms.	#nvvvn
6,A man performing on a guitar.	dGv>dn
6,Young women talking on the street.	aGv>dn
6,A young girl performing the nutcracker.	daGvda
6,A boy is skateboarding at night.	dGvv>n
6,Man standing on a bike downtown.	Gv>dnu
6,Two people walking across a street.	#nv>dn
6,A man driving a four-wheeler off-road.	dGvduu
6,Three children play with a toy.	#nu>dn
6,Some people in a subway train.	dn>dnn
6,Two dogs walking with their toys.	#nv>nn
6,A cheerleader thrown into the air	dan>dn
6,Two woman are reviewing a paper.	#Gvvdn
6,Two dogs playing in the snow.	#nv>dn
6,A construction crew working at nighttime.	dnuv>u
6,A large crane lifting an object.	dnnvdn
6,A construction worker on the job.	dnn>dn
6,Two dogs are shaking water off.	#nvvnn
6,The two friends are having fun.	d#nvvn
6,The little girl is eating outdoors.	daGvvn
6,Four women are on a porch.	#Gv>dn
6,Boy in raincoat straddle stick outside.	G>uuun
6,A man performing dangerous job duties.	dGvunn
6,Man running next to artwork wall.	Gvn>un
6,A man walking down the street.	dGvndn
6,Three guys are wearing red shirts.	#nvvan
6,A kayaker plungles into the river.	duu>dn
6,A Jewish family having a meeting.	dnAvdv
6,There is a truck on fire.	Evda>n
6,Some men are standing on scaffolding.	dGvv>v
6,Man and woman cutting wedding cake.	G+Gvvn
6,Two woman are reviewing a paper.	#Gvvdn
6,People walking outside a transport station.	nvnduu
6,A man is playing the saxophone.	dGvvdn
6,A man is playing the saxophone.	dGvvdn
6,A dog runs through the grass.	dau>dn
6,A couple sitting and playing Nintendo.	dnv+vP
6,Three skateboarders are in a park.	#nv>dn
6,A group of tourists is excited.	dn>uvv
6,A child jumps onto a bed.	dnnndn
6,Two guys are sitting playing chess.	#nvvvn
6,Two older men in gray jackets.	#nG>an
6,The two babies wearing eye glass	d#nvua
6,Young lady in a tennis match.	an>dnn
6,Citizens participating in a local event.	uv>dan
6,Children are playing at the playground.	nvv>dn
6,A man performing on a guitar.	dGv>dn
6,Children are dressed in vibrant colors.	nvv>un
6,Two dogs play in a field.	#nu>dn
6,Two men in magenta costumes performing.	#G>uuv
6,Two men exercise on the beach.	#Gn>dn
6,Old car driving down the road.	nnvndn
6,Some hipsters dancing to the music.	duv>dn
6,A woman sitting surrounded by produce.	dGvv>n
6,Hockey players fighting over a puck.	nnv>dn
6,A man runs with his bike.	dGu>pn
6,Man sits on bike in air.	Gn>n>n
6,Two of the girls are smiling	#>dGvv
6,A man kayaks through rough water.	dGu>un
6,Man creates art using spray paint.	Guuvun
6,A man playing music on stage.	dGvn>n
6,A girl is riding a horse	dGvvdn
6,A person is playing a drum	davvdn
6,Some kids are eating the food	dnvvdn
6,A person is riding a bike	davvdn
6,The woman is eating some pizza	dGvvdn
6,A man is slicing an orange	dGvvda
6,The woman is peeling an apple	dGvvdn
6,The person is riding the horse	davvdn
6,A man is playing the instrument	dGvvdn
6,A man is drinking some milk	dGvvdn
6,The boy is burrowing a hole	dGvvdn
6,A woman is playing a guitar	dGvvdn
6,The man is kicking a monkey	dGvvdn
6,A man is slicing a tomato	dGvvdn
6,A woman is slicing an onion	dGvvdn
6,A person is riding a horse	davvdn
6,A kid is eating a cupcake	dnvvdn
6,A monkey is teasing a lion	dnvvdn
6,A kid is making a sketch	dnvvdn
6,The man is riding the horse	dGvvdn
6,A man is playing the violin	dGvvdn
6,A man is cleaning a bowl	dGvvdn
6,A boy is riding a bicycle	dGvvdn
6,There is no cold cyclist celebrating	Evdanv
6,Some cheerleaders are taking a break	dnvvdn
6,Two pandas are not lying together	#nvnvn
6,A woman is penciling on eyeshadow	dGvv>n
6,One person is cutting an onion	#avvdn
6,A man is not playing keyboards	dGvnvn
6,A machine is sharpening a knife	dnvvdn
6,A cat is playing a piano	dnvvdn
6,The men are not playing soccer	dGvnva
6,The man is seasoning the meat	dGvvdn
6,There is no man cutting tomatoes	EvdGvn
6,A man is playing a guitar	dGvvdn
6,A person is packing a zucchini	davvdn
6,The man isn't playing the piano	dGCvdn
6,Two young kids are eating corndogs	#anvvn
6,Someone is typing on a keyboard	pvv>dn
6,A man is drawing some figures	dGvvda
6,The man is playing a piano	dGvvdn
6,A musician is playing a keyboard	dnvvdn
6,An animated airplane is taking off	dvnvvn
6,A man is cleaning the sink	dGvvdn
6,Three men are practicing karate outdoors	#Gvvnn
6,There is no kitten drinking milk	Evdnvn
6,A man is making a sketch	dGvvdn
6,The women are not dancing outside	dGvnvn
6,The person is peeling an onion	davvdn
6,The man is playing the drums	dGvvdn
6,A girl is brushing her hair	dGvvpn
6,A person is cooking some food	davvdn
6,There is no woman mixing eggs	EvdGvn
6,Rugby players are tackling each other	nnvvda
6,There is no man being hit	EvdGvv
6,The dog is licking the baby	davvda
6,Few men like pouring tomato oil	aGuvnn
6,A pianist is playing the keyboard	dnvvdn
6,A man is playing an instrument	dGvvdn
6,A woman is not cutting broccoli	dGvnvn
6,A man is planting a tree	dGvvdn
6,The man isn't operating a stenograph	dGCvdn
6,The dog is catching a ball	davvdn
6,The person is riding the animal	davvdn
6,A woman is cutting an onion	dGvvdn
6,A woman is cutting an octopus	dGvvdn
6,A boy is hitting a baseball	dGvvda
6,A man is playing an instrument	dGvvdn
6,A boy is shredding a calendar	dGvvdn
6,The person is riding the animal	davvdn
6,One man is eating some food	#Gvvdn
6,Two panda bears are lying together	#nuvvn
6,The man is drawing a gun	dGvvdn
6,The boy is checking a calendar	dGvvdn
6,A man is riding a skateboard	dGvvdn
6,Some women are eating and drinking 	dGvv+v
6,A surfer is riding the wave	dnvvdn
6,A man is playing an instrument	dGvvdn
6,A kid is selling a book	dnvvdn
6,A woman is peeling the apple	dGvvdn
6,A man is riding a horse	dGvvdn
6,A man is playing a guitar	dGvvdn
6,A man is riding a horse	dGvvdn
6,The boy is doing floor exercises	dGvvnn
6,A man is quickly running uphill	dGvAvn
6,A man is cutting a tomato	dGvvdn
6,The girl is watering the plants	dGvvdn
6,A group of people is walking	dn>nvv
6,A cat is playing a piano	dnvvdn
6,A dog is jumping a fence	davvdn
6,A man is slicing a fish	dGvvdn
6,A person is cutting an onion	davvdn
6,One woman is peeling a potato	#Gvvdn
6,A machine is sharpening a pencil	dnvvdn
6,A man is eating a banana	dGvvdn
6,A cat is playing a keyboard	dnvvdn
6,The boy is riding a tricycle	dGvvdn
6,A woman is slicing a carrot	dGvvdn
6,Two men are playing table tennis	#Gvvnn
6,A girl is playing a guitar	dGvvdn
6,A man is preparing some dish	dGvvdn
6,A person is brushing a cat	davvdn
6,The boy is riding a tricycle	dGvvdn
6,A band is playing some instruments	dnvvdn
6,A man is playing the guitar	dGvvdn
6,The lady is peeling the potato	dnvvdn
6,A woman is slicing an onion	dGvvdn
6,A man is playing a guitar	dGvvdn
6,A woman is peeling a potato	dGvvdn
6,A person is chopping an onion	davvdn
6,A kitten is drinking fresh milk	dnvvnn
6,A person is playing a piano	davvdn
6,The boy is riding a tricycle	dGvvdn
6,A person is cutting an onion	davvdn
6,A man is cutting a box	dGvvdn
6,A woman is riding a horse	dGvvdn
6,A girl in white is dancing	dG>avv
6,A person is folding a tortilla	davvdn
6,A guy is riding a horse	dnvvdn
6,A woman is slicing a carrot	dGvvdn
6,A classroom is full of students	dnvu>u
6,A woman is peeling a potato	dGvvdn
6,A kitten is drinking fresh milk	dnvvnn
6,A group of people are dancing	dn>nvv
6,A person is playing the keyboard	davvdn
6,A girl is brushing her hair	dGvvpn
6,One woman is peeling a potato	#Gvvdn
6,A woman is riding a horse	dGvvdn
6,A person is peeling a potato	davvdn
6,Two men are holding fishing poles	#Gvvvn
6,Four people are performing music outdoors	#nvvnn
6,A man is playing a flute	dGvvdn
6,A woman is slicing a tomato	dGvvdn
6,An animal is biting someone's finger	dnvvnn
6,A dog is licking a baby	davvda
6,A man is driving a car	dGvvdn
6,A man is riding a horse	dGvvdn
6,A person is playing the keyboard	davvdn
6,A man is playing the guitar	dGvvdn
6,A woman is playing the flute	dGvvdn
6,A woman is slicing an onion	dGvvdn
6,A woman is putting on lipstick	dGvv>n
6,Two white dogs are running together	#anvvn
6,Two men are holding fishing poles	#Gvvvn
6,The woman is poking a potato	dGvvdn
6,The man is operating a stenograph	dGvvdn
6,A man is playing the guitar	dGvvdn
6,A man is playing a guitar	dGvvdn
6,A woman is peeling a potato	dGvvdn
6,A man is riding a horse	dGvvdn
6,A man is playing a guitar	dGvvdn
6,A person is playing the keyboard	davvdn
6,The man is playing a guitar	dGvvdn
6,A man is playing a keyboard	dGvvdn
6,The woman is cutting cooked octopus	dGvvvn
6,The man is riding a horse	dGvvdn
6,A kid is playing a guitar	dnvvdn
6,Racers are running down a track	uvvndn
6,A woman is squeezing a lemon	dGvvdn
6,A man is playing a guitar	dGvvdn
6,The person is riding the horse	davvdn
6,A man is riding a horse	dGvvdn
6,The man is aiming a gun	dGvvdn
6,A woman is riding a horse	dGvvdn
6,The turtle is following the fish	dnvvdn
6,The man is playing the guitar	dGvvdn
6,A man is cutting a paper	dGvvdn
6,A toddler is eating a banana.	dnvvdn
6,I sometimes give my cat fish.	yuvynn
6,My children prefer to eat vegetables.	ynu>un
6,The baby likes listening to music.	dauv>n
6,My mom cleaned under the bed.	yuv>dn
6,I have organized in the refrigerator	yvv>dn
7,Street vendors serve passer-by's in the city.	nuuu>dn
7,A young man climbs a rocky hill.	daGudan
7,A man playing a bass on stage.	dGvdu>n
7,An elderly gentleman is exiting a building.	dAnvvdv
7,Two happy looking women beside alcoholic beverages.	#uvGnuu
7,Two African men mind their own business.	#nGunuu
7,A surfer flies over a crashing wave.	dnn>dvn
7,Girl in school outfit atop a tree.	G>nnudn
7,Bagpiper on the street of a city.	P>dn>dn
7,Crowd of people standing near a bench.	n>nv>dn
7,A man playing volleyball on the beach.	dGvn>dn
7,This dog is running along the path.	uavvndn
7,A man tinkers with a bicycle seat.	dGu>dnu
7,A skateboarder goes down a stair railing.	dannduv
7,Two young men wearing matching clothing smiling.	#aGvvvv
7,Young men perform in a band indoors.	aGu>dnu
7,A black dog splashes in the water	daau>dn
7,A Chinese store in a shopping plaza.	dPn>dvn
7,A shirtless man climbs a rock wall.	duGudan
7,A couple sitting by a small waterfall.	dnv>dan
7,People sitting on a rug around ropes.	nv>dunu
7,A girl is writing something in paper.	dGvvv>n
7,A blond-hair lady sitting with a kid.	dunv>dn
7,A black dog runs through the water.	daau>dn
7,A black dog splashes in the water.	daau>dn
7,A large crowd of people ice skating.	dnn>nnv
7,Young people are in the kitchen laughing.	anv>dnv
7,Lots of people gathering in a line.	n>nv>dn
7,Children running towards a very big tree.	nvndAan
7,A man hammers plywood on a roof.	dGuu>dn
7,People standing and sitting at a dock.	nv+v>dn
7,A man doing tricks on a bike	dGvn>dn
7,A young girl climbs the supported tree.	daGudvn
7,Young men perform in a band indoors.	aGu>dnu
7,Friends having fun out for the night.	nvnnndn
7,A young girl climbs the supported tree.	daGudvn
7,Two men in beige coats, talking.	#G>un_v
7,Several people laying down on the beach.	nnvn>dn
7,An old man looks at his beer.	dnGv>pn
7,The man is holding a SLOW sign.	dGvvdnn
7,A man is holding a slow sign	dGvvdnn
7,An older gentleman is holding a conference.	dnnvvdn
7,Two young women speaking into a microphone.	#aGv>dn
7,A man playing the guitar and singing.	dGvdn+v
7,A young man singing at a concert.	daGv>dn
7,People on their motorcycles on a sidewalk.	n>nu>dn
7,Skateboarding grinding in a bootleg skate park.	vv>duan
7,A girl in a pink flower dress.	dG>dann
7,Two African men mind their own business.	#nGunuu
7,A soccer game on a grassy field.	dan>dan
7,Men parading in kilts and playing instruments.	Gv>n+vn
7,Motorcycle guy waiting to cross the street.	nnv>udn
7,A race car zooms while onlookers watch.	dnnu>uu
7,An old man looking over a sculpture.	dnGv>dn
7,A couple sitting by a small waterfall.	dnv>dan
7,Two people walking down a sandy road.	#nvndan
7,A man is playing golf by himself.	dGvvn>u
7,Men race their bikes on a road.	Gnnn>dn
7,3 men wearing black attire are reading.	uGvauvv
7,Two young men wearing matching clothing smiling.	#aGvvvv
7,A crowd of people picking up bananas.	dn>nv>n
7,Little boy swinging fast in tire swing.	aGvu>uv
7,A blond child riding a tire swing.	danvduv
7,Two people are walking through some water.	#nvv>dn
7,Some expats celebrate and wave red flags.	duu+nan
7,A young man skateboarding on a rail.	daGv>dn
7,A young man skateboarding on a rail.	daGv>dn
7,Group of rollerskaters in a skate park.	n>u>dan
7,People sitting or standing on a bus.	nvcv>dn
7,Two dogs playing outside near the water.	#nvn>dn
7,Two dogs play with each other outdoors.	#nu>dan
7,Man in black shirt waiting with luggage.	G>anv>u
7,A dog runs for a red Frisbee.	daundaP
7,A white dog runs into a lake.	daau>dn
7,A dog tries to bite another dog.	dan>una
7,A skateboarder goes down a stair railing.	dannduv
7,Two brown dogs play in the snow.	#anu>dn
7,A man is skateboarding up a ramp.	dGvv>dn
7,Three men eating food on a couch.	#Gvn>dn
7,Crowd of people standing near a bench.	n>nv>dn
7,People playing musical instruments in a building.	nvan>dv
7,A man tinkers with a bicycle seat.	dGu>dnu
7,The dog is running through the yard.	davv>dn
7,A little girl holds up her plate.	daGu>pu
7,Kids play in a blow up playground.	nu>dn>n
7,A blurry dog inside on a carpet.	duan>dn
7,The policeman walks with his German shepherd.	dnu>pPn
7,A young girl climbs the supported tree.	daGudvn
7,Three bald men wearing red look on.	#nGvav>
7,A park scene featuring people riding bikes.	dnuvnvn
7,A skateboarder grinds on a cement obstacle	dan>dan
7,Girl wearing radio t-shirt has open mouth	Gvunuan
7,Two men sitting in sand reading magazines.	#Gv>nvn
7,Tall man being stopped by an officer.	aGvv>dn
7,The lady is creating a painting outside.	dnvvdvn
7,A woman painting at an outdoor festival.	dGv>dan
7,Several men are outside on a boat.	nGvn>dn
7,Toddler boy smiling while in a swing	nGv>>dv
7,People gather together in an art gallery.	nun>duu
7,Blond girl paying with a hula hoop.	aGv>dan
7,A black girl being splash in water.	daGvn>n
7,Two girls play in a sand box.	#Gu>dnn
7,Lots of people gathering in a line.	n>nv>dn
7,A couple stands behind their wedding cake.	dnnnnvn
7,Cameramen filming an athlete throwing a javelin.	Pvduvdu
7,A woman reading and signing a paper.	dGv+vdn
7,A subway tunnel with people around it	dnu>nnr
7,A man playing volleyball on the beach.	dGvn>dn
7,A dog is jumping in the grass.	davv>dn
7,A brown dog runs along a fence.	daaundn
7,A busy market street in a city.	dann>dn
7,Young men perform in a band indoors.	aGu>dnu
7,Three men are standing on stage performing.	#Gvv>nv
7,Friends having fun out for the night.	nvnnndn
7,Man in black walking up a sidewalk.	G>av>dn
7,Young boy jumping on to his bed.	aGv>>pn
7,A woman is standing on a road.	dGvv>dn
7,2 people standing outside by a lake.	unvn>dn
7,A man falls out of his kayak.	dGnn>pu
7,A man teaches a classroom of children.	dGudn>n
7,A black dog runs through the water.	daau>dn
7,A black dog splashes in the water.	daau>dn
7,Two men in beige coats, talking.	#G>un_v
7,A man plays Frisbee with his dog.	dGnP>pa
7,A woman is standing on a road.	dGvv>dn
7,Girl tangled in multicolored bands on tracks.	Gv>vn>n
7,An old Ford passes through the street.	dnPu>dn
7,A man and a woman are laughing.	dG+dGvv
7,3 people are dancing in weird clothes.	unvv>uu
7,A skateboarder rides down a city street.	daundnn
7,People dressed in green and white dancing	nv>a+av
7,This gentleman just finished a refreshing swim.	unuvdvn
7,Toddler in red wearing a chefs hat.	n>avdan
7,A blond woman is holding a child.	daGvvdn
7,A man and a woman are laughing.	dG+dGvv
7,Children playing soccer on a nice day.	nva>dan
7,Kids playing soccer on a sunny day.	nva>dan
7,Bagpiper on the street of a city.	P>dn>dn
7,A man playing a bass on stage.	dGvdu>n
7,A couple sitting by a small waterfall.	dnv>dan
7,A young ninja jumps into the air.	daun>dn
7,People sitting on a rug around ropes.	nv>dunu
7,A man and a woman are smiling	dG+dGvv
7,A man looking at an orange device.	dGv>dan
7,A cat is resting on a chair	dnvv>dn
7,A woman is speaking on a stage	dGvv>dn
7,The sheep is grazing on the grass	dnvv>dn
7,A dog is running on the beach	davv>dn
7,Two dogs are fighting in a pit	#nvv>dn
7,A small elephant is walking through water	danvv>n
7,A giraffe is eating a small tree	dnvvdan
7,The man is trotting on the horse	dGvv>dn
7,A man is diving into the sea	dGvv>dn
7,Someone is typing on a cell phone	pvv>dan
7,An animal is jumping into a box	dnvv>dn
7,A dog is barking at a man	davv>dG
7,A baby is playing with a toy	davv>dn
7,There is no one peeling a banana	Evd#vdn
7,There is no woman cutting an onion	EvdGvdn
7,The boy is not riding a tricycle	dGvnvdn
7,There is no man slicing a tomato	EvdGvdn
7,There is no man drawing a picture	EvdGvdn
7,Two men are swimming in deep water	#Gvv>un
7,A man is performing with a guitar	dGvv>dn
7,Two dogs are playing with each other	#nvv>da
7,A dog is jumping on a trampoline	davv>dn
7,A little boy is playing a guitar	daGvvdn
7,A man is playing an electronic keyboard	dGvvdan
7,A person is stopping playing a trumpet 	davvvdn
7,There is no lady peeling the potato	Evdnvdn
7,Garlic is being diced by the woman	nvvv>dG
7,The woman is putting down the kangaroo	dGvvndn
7,Two men are walking through the grass	#Gvv>dn
7,Three boys in karate costumes aren't fighting	#G>nuCv
7,There is no monkey brushing the dog	Evdnvda
7,A person is dancing in the rain	davv>dn
7,Three men are looking at something nearby	#Gvv>va
7,A person is wrapping up an onion	davv>dn
7,A man is taping a cut box	dGvvdnn
7,A woman is not riding a horse	dGvnvdn
7,A man is slowly folding a tortilla	dGvAvdn
7,There is no woman slicing a carrot	EvdGvdn
7,A skateboarder is jumping in the air	davv>dn
7,Three men are jumping on a wall	#Gvv>dn
7,There is no woman slicing a tomato	EvdGvdn
7,A girl is on a jumping car	dGv>dvn
7,Two men are walking through a river	#Gvv>dn
7,An animal is biting a person's finger	dnvvdan
7,The air is tricking a performing cyclist	dnvvdvn
7,Two white dogs are not running together	#anvnvn
7,Two little boys are not wearing tuxedos	#aGvnvu
7,There is no man playing a keyboard	EvdGvdn
7,One girl is jumping on the car	#Gvv>dn
7,The man is not playing the guitar	dGvnvdn
7,An animal is biting a person's finger	dnvvdan
7,Dirt bikers are riding on a trail	anvv>dn
7,A man is having fun with water	dGvvn>n
7,There is no woman slicing an onion	EvdGvdn
7,There is no woman putting on lipstick	EvdGv>n
7,The boy is trotting on the horse	dGvv>dn
7,A man is speaking about the stage	dGvvXdn
7,A talented man is playing the guitar	dvGvvdn
7,There is no woman peeling a potato	EvdGvdn
7,The person is playing with a skull	davv>dn
7,There is no dog eating a doll	Evdavdn
7,A man is playing an electric guitar	dGvvdan
7,The man isn't smearing butter on bread 	dGCvn>u
7,A man is playing a trumpet brightly	dGvvdnA
7,Someone is putting ingredients into a wok	pvvn>dn
7,A person is not playing the keyboard	davnvdn
7,There are no children playing and waiting	Evdnv+v
7,A horse is riding over a man	dnvv>dG
7,A kid is putting the guitar away	dnvvdnn
7,A man is not playing a guitar	dGvnvdn
7,There is no person peeling an onion	Evdavdn
7,The young man is not rock climbing	daGvnav
7,Five adults are sitting on a chair	#nvv>dn
7,There is no woman combing her hair	EvdGvpn
7,A dog is walking along the snowdrift	davvndn
7,A skateboarder is jumping off a ramp	davvndn
7,No skateboarder is jumping in the air	davv>dn
7,A girl is riding a brown horse	dGvvdan
7,A drunk man is watering a dog	dnGvvda
7,An animal is grazing in a field	dnvv>dn
7,A cat is playing with a toy	dnvv>dn
7,Some dogs are fighting in a pit	dnvv>dn
7,A girl is diving into the water	dGvv>dn
7,An elephant is wading through a river	dnvv>dn
7,A woman is playing an electric guitar	dGvvdan
7,Someone is stirring soup in a pot	pvvn>dn
7,A man is jumping into the sea	dGvv>dn
7,A little dog is drinking fresh water	daavvnn
7,Somebody is typing on the cell phone	Pvv>dan
7,The man is not kicking a monkey	dGvnvdn
7,An animal is jumping into a container	dnvv>dn
7,A person is riding an old horse	davvdnn
7,A woman is working on the computer	dGvv>dn
7,A dog is running with the ball	davv>dn
7,A man is riding a mechanical bull	dGvvdan
7,A child is making a snow ball	dnvvdnn
7,Four people are floating on a raft	#nvv>dn
7,A baby is playing with a doll	davv>dn
7,The rhino is grazing on the grass	dnvv>dn
7,A man is rinsing a large steak	dGvvdnu
7,A lady is cutting up some meat	dnvv>dn
7,Two men are standing in deep water	#Gvv>un
7,The boy is playing in the mud	dGvv>dn
7,A surfer is surfing a huge wave	dnvvdan
7,A woman is boiling noodles in water	dGvvn>n
7,Tofu is being sliced by a woman	Pvvv>dG
7,A policeman is sitting on a motorcycle	dnvv>dn
7,Several swimmers are jumping into the water	nnvv>dn
7,A man is playing an acoustic guitar	dGvvdan
7,A boy is running through the sand	dGvv>dn
7,A dog is bouncing on a trampoline	davv>dn
7,Several swimmers are jumping into the water	nnvv>dn
